data,data2,gyro
429,-0.532258065,-67
465,-0.3,-62
574,0.403225806,-76
541,0.190322581,-82
500,-0.074193548,-72
477,-0.222580645,-50
555,0.280645161,-50
522,0.067741935,-60
418,-0.603225806,-54
540,0.183870968,-31
563,0.332258065,2
504,-0.048387097,80
504,-0.048387097,96
496,-0.1,103
511,-0.003225806,110
486,-0.164516129,118
518,0.041935484,-126
486,-0.164516129,-116
510,-0.009677419,-109
514,0.016129032,-105
525,0.087096774,-101
463,-0.312903226,-99
523,0.074193548,-95
522,0.067741935,-92
511,-0.003225806,-87
512,0.003225806,-80
513,0.009677419,-74
532,0.132258065,-68
509,-0.016129032,-63
519,0.048387097,-56
547,0.229032258,-53
523,0.074193548,-48
473,-0.248387097,-48
468,-0.280645161,-49
512,0.003225806,-50
504,-0.048387097,-51
538,0.170967742,-52
541,0.190322581,-54
525,0.087096774,-61
494,-0.112903226,-65
495,-0.106451613,-68
507,-0.029032258,-71
541,0.190322581,-73
520,0.05483871,-77
480,-0.203225806,-83
508,-0.022580645,-89
550,0.248387097,-98
519,0.048387097,-103
484,-0.177419355,-110
497,-0.093548387,-116
540,0.183870968,-121
470,-0.267741935,-124
530,0.119354839,-125
534,0.14516129,126
515,0.022580645,123
509,-0.016129032,117
506,-0.035483871,114
517,0.035483871,112
491,-0.132258065,110
530,0.119354839,108
490,-0.138709677,106
487,-0.158064516,103
515,0.022580645,101
510,-0.009677419,100
546,0.222580645,98
514,0.016129032,94
518,0.041935484,89
505,-0.041935484,85
512,0.003225806,81
546,0.222580645,75
505,-0.041935484,64
516,0.029032258,57
525,0.087096774,0
498,-0.087096774,-10
509,-0.016129032,-23
525,0.087096774,-36
519,0.048387097,-47
482,-0.190322581,-66
508,-0.022580645,-72
553,0.267741935,-101
512,0.003225806,126
512,0.003225806,103
521,0.061290323,90
530,0.119354839,83
515,0.022580645,76
489,-0.14516129,70
520,0.05483871,75
484,-0.177419355,83
533,0.138709677,82
460,-0.332258065,80
450,-0.396774194,85
513,0.009677419,94
449,-0.403225806,97
485,-0.170967742,92
496,-0.1,93
520,0.05483871,94
483,-0.183870968,97
539,0.177419355,98
522,0.067741935,90
486,-0.164516129,87
559,0.306451613,94
578,0.429032258,112
409,-0.661290323,120
528,0.106451613,123
484,-0.177419355,122
382,-0.835483871,126
460,-0.332258065,-120
435,-0.493548387,-112
527,0.1,-118
498,-0.087096774,-125
443,-0.441935484,-117
576,0.416129032,-98
511,-0.003225806,-90
562,0.325806452,-98
503,-0.05483871,-109
478,-0.216129032,-105
471,-0.261290323,-79
494,-0.112903226,-48
533,0.138709677,-38
536,0.158064516,-48
481,-0.196774194,-48
491,-0.132258065,-24
541,0.190322581,65
508,-0.022580645,97
498,-0.087096774,108
565,0.34516129,111
534,0.14516129,116
515,0.022580645,125
523,0.074193548,-119
499,-0.080645161,-108
509,-0.016129032,-101
506,-0.035483871,-98
516,0.029032258,-98
519,0.048387097,-95
501,-0.067741935,-87
503,-0.05483871,-80
524,0.080645161,-77
483,-0.183870968,-75
523,0.074193548,-72
512,0.003225806,-69
542,0.196774194,-65
532,0.132258065,-63
510,-0.009677419,-60
462,-0.319354839,-57
512,0.003225806,-55
500,-0.074193548,-54
504,-0.048387097,-53
507,-0.029032258,-53
527,0.1,-52
511,-0.003225806,-55
479,-0.209677419,-58
479,-0.209677419,-63
535,0.151612903,-67
534,0.14516129,-70
512,0.003225806,-75
495,-0.106451613,-82
505,-0.041935484,-92
528,0.106451613,-102
500,-0.074193548,-109
526,0.093548387,-116
513,0.009677419,-118
503,-0.05483871,-119
512,0.003225806,-120
514,0.016129032,-121
529,0.112903226,-122
504,-0.048387097,-123
512,0.003225806,-128
520,0.05483871,124
514,0.016129032,120
532,0.132258065,116
529,0.112903226,112
512,0.003225806,109
547,0.229032258,106
510,-0.009677419,102
498,-0.087096774,99
503,-0.05483871,96
519,0.048387097,91
519,0.048387097,85
487,-0.158064516,78
533,0.138709677,71
472,-0.25483871,63
521,0.061290323,55
525,0.087096774,-2
533,0.138709677,-15
542,0.196774194,-26
525,0.087096774,-39
497,-0.093548387,-51
571,0.383870968,-60
530,0.119354839,-67
514,0.016129032,-76
470,-0.267741935,-90
530,0.119354839,-102
529,0.112903226,-116
493,-0.119354839,127
515,0.022580645,113
556,0.287096774,98
489,-0.14516129,84
526,0.093548387,80
485,-0.170967742,83
470,-0.267741935,83
532,0.132258065,78
474,-0.241935484,74
587,0.487096774,77
557,0.293548387,87
563,0.332258065,97
523,0.074193548,101
604,0.596774194,99
500,-0.074193548,99
541,0.190322581,98
479,-0.209677419,100
514,0.016129032,98
452,-0.383870968,94
506,-0.035483871,101
360,-0.977419355,114
374,-0.887096774,119
543,0.203225806,112
461,-0.325806452,113
375,-0.880645161,122
502,-0.061290323,-122
626,0.738709677,-114
442,-0.448387097,-106
460,-0.332258065,-100
560,0.312903226,-93
605,0.603225806,-88
517,0.035483871,-79
298,-1.377419355,-71
557,0.293548387,-70
546,0.222580645,-73
487,-0.158064516,-71
495,-0.106451613,-57
574,0.403225806,-37
507,-0.029032258,-11
532,0.132258065,0
525,0.087096774,59
502,-0.061290323,68
507,-0.029032258,79
467,-0.287096774,92
485,-0.170967742,106
517,0.035483871,125
519,0.048387097,-121
517,0.035483871,-114
516,0.029032258,-108
501,-0.067741935,-101
519,0.048387097,-93
545,0.216129032,-84
523,0.074193548,-77
538,0.170967742,-68
510,-0.009677419,-63
519,0.048387097,-59
511,-0.003225806,-58
516,0.029032258,-57
511,-0.003225806,-56
528,0.106451613,-56
497,-0.093548387,-56
517,0.035483871,-56
510,-0.009677419,-57
492,-0.125806452,-57
480,-0.203225806,-57
522,0.067741935,-59
553,0.267741935,-62
506,-0.035483871,-64
506,-0.035483871,-67
491,-0.132258065,-70
505,-0.041935484,-76
530,0.119354839,-79
510,-0.009677419,-83
493,-0.119354839,-87
510,-0.009677419,-91
544,0.209677419,-95
491,-0.132258065,-99
505,-0.041935484,-108
505,-0.041935484,-115
537,0.164516129,-120
520,0.05483871,-124
509,-0.016129032,-126
507,-0.029032258,126
553,0.267741935,121
551,0.25483871,115
521,0.061290323,113
502,-0.061290323,110
527,0.1,109
504,-0.048387097,108
508,-0.022580645,107
516,0.029032258,105
526,0.093548387,102
519,0.048387097,98
513,0.009677419,94
520,0.05483871,88
521,0.061290323,84
530,0.119354839,80
532,0.132258065,75
524,0.080645161,71
518,0.041935484,67
510,-0.009677419,62
497,-0.093548387,1
540,0.183870968,-8
510,-0.009677419,-21
499,-0.080645161,-33
538,0.170967742,-45
502,-0.061290323,-57
499,-0.080645161,-70
526,0.093548387,-82
508,-0.022580645,-98
521,0.061290323,-103
480,-0.203225806,-116
539,0.177419355,-126
510,-0.009677419,121
493,-0.119354839,112
534,0.14516129,100
550,0.248387097,87
531,0.125806452,81
455,-0.364516129,78
553,0.267741935,75
506,-0.035483871,83
500,-0.074193548,99
511,-0.003225806,105
557,0.293548387,100
578,0.429032258,95
612,0.648387097,103
476,-0.229032258,110
541,0.190322581,110
544,0.209677419,98
390,-0.783870968,89
582,0.45483871,84
564,0.338709677,84
494,-0.112903226,82
496,-0.1,66
541,0.190322581,66
413,-0.635483871,81
407,-0.674193548,92
490,-0.138709677,102
470,-0.267741935,104
430,-0.525806452,107
534,0.14516129,-122
417,-0.609677419,-109
453,-0.377419355,-85
654,0.919354839,-91
528,0.106451613,-93
448,-0.409677419,-83
542,0.196774194,-69
598,0.558064516,-63
561,0.319354839,-62
478,-0.216129032,-64
441,-0.45483871,-60
566,0.351612903,-46
419,-0.596774194,-31
502,-0.061290323,-28
551,0.25483871,-37
552,0.261290323,-37
502,-0.061290323,-13
523,0.074193548,90
527,0.1,114
548,0.235483871,120
528,0.106451613,113
519,0.048387097,105
528,0.106451613,104
520,0.05483871,111
491,-0.132258065,120
524,0.080645161,-125
529,0.112903226,-108
532,0.132258065,-94
514,0.016129032,-80
522,0.067741935,-67
529,0.112903226,-56
503,-0.05483871,-45
480,-0.203225806,-38
520,0.05483871,-33
475,-0.235483871,-29
475,-0.235483871,-28
471,-0.261290323,-30
474,-0.241935484,-32
527,0.1,-34
455,-0.364516129,-35
509,-0.016129032,-37
514,0.016129032,-42
520,0.05483871,-46
487,-0.158064516,-48
522,0.067741935,-51
529,0.112903226,-55
514,0.016129032,-62
492,-0.125806452,-67
470,-0.267741935,-72
528,0.106451613,-78
540,0.183870968,-81
497,-0.093548387,-90
528,0.106451613,-96
506,-0.035483871,-102
484,-0.177419355,-107
487,-0.158064516,-114
499,-0.080645161,-122
503,-0.05483871,127
516,0.029032258,119
513,0.009677419,116
557,0.293548387,114
559,0.306451613,112
513,0.009677419,110
508,-0.022580645,107
498,-0.087096774,103
522,0.067741935,100
520,0.05483871,95
500,-0.074193548,92
512,0.003225806,89
518,0.041935484,86
513,0.009677419,83
543,0.203225806,80
510,-0.009677419,77
506,-0.035483871,73
504,-0.048387097,72
469,-0.274193548,66
532,0.132258065,63
543,0.203225806,59
523,0.074193548,55
500,-0.074193548,0
517,0.035483871,-5
516,0.029032258,-13
502,-0.061290323,-36
491,-0.132258065,-51
473,-0.248387097,-55
566,0.351612903,-60
485,-0.170967742,-74
518,0.041935484,-81
499,-0.080645161,-83
529,0.112903226,-92
497,-0.093548387,-120
513,0.009677419,127
513,0.009677419,124
513,0.009677419,116
537,0.164516129,107
481,-0.196774194,99
487,-0.158064516,93
549,0.241935484,102
515,0.022580645,108
477,-0.222580645,101
521,0.061290323,99
447,-0.416129032,101
540,0.183870968,101
532,0.132258065,101
440,-0.461290323,103
494,-0.112903226,101
524,0.080645161,97
428,-0.538709677,111
585,0.474193548,114
441,-0.45483871,107
384,-0.822580645,98
542,0.196774194,96
